Slowo1;Slowo2;Relacja;;
DOM;MIESZKANIE;1;;
CISZA;SPOKÓJ;1;;
SZYBKI;BŁYSKAWICZNY;1;;
RADOŚĆ;SZCZĘŚCIE;1;;
PIES;PSY;1;;
KSIĄŻKA;TOM;1;;
DRZWI;BRAMA;1;;
OKNO;FURTKA;1;;
DZIEŃ;PORANEK;1;;
WIECZÓR;NOC;1;;
CHLEB;BUŁKA;1;;
SŁOŃCE;GWIAZDA;1;;
WODA;ŹRÓDŁO;1;;
ZIMA;MROŹNO;1;;
KWIAT;ROŚLINA;1;;
MIŁOŚĆ;UCZUCIE;1;;
CIEPŁO;GORĄCO;1;;
ZABAWA;GRY;1;;
ŚMIECH;UŚMIECH;1;;
KREW;CZERWIEŃ;1;;
LATO;LETNIE;1;;
SMUTEK;ZMARTWIENIE;1;;
KSIĘŻYC;NOCNIK;1;;
ZABAWA;ROZRYWKA;1;;
DOM;NOC;1;;
CISZA;ROZRYWKA;1;;
SZYBKI;SMUTEK;1;;
RADOŚĆ;MROŹNO;1;;
PIES;UŚMIECH;1;;
KSIĄŻKA;PTAK;1;;
DRZWI;LETNIE;1;;
OKNO;GRY;1;;
DZIEŃ;BRAMA;1;;
WIECZÓR;GWIAZDA;1;;
CHLEB;CZERWIEŃ;1;;
SŁOŃCE;UCZUCIE;1;;
WODA;PORANEK;1;;
ZIMA;TOM;1;;
KWIAT;BUŁKA;1;;
MIŁOŚĆ;FURTKA;1;;
CIEPŁO;PSY;1;;
ZABAWA;ŹRÓDŁO;1;;
ŚMIECH;KSIĘŻYC;1;;
KREW;SPOKÓJ;1;;
LATO;ROŚLINA;1;;
SMUTEK;BŁYSKAWICZNY;1;;
KSIĘŻYC;DOM;1;;
ZABAWA;MIESZKANIE;1;;
ROBET;ZEGAREK;0;;
WICZK;OBERL;0;;
PIASEK;TUKET;0;;
MAŁPA;CZIWT;0;;
SMOK;KRUT;0;;
SZKRAB;MOŁEJK;0;;
SMEP;DELFIN;0;;
CZAJNIK;UMOP;0;;
MITAL;FURTKA;0;;
PTAS;MOLKT;0;;
ZGLIT;WBOT;0;;
SZOWAL;MYLIR;0;;
PIKOT;ŻMÓR;0;;
MIKET;IGREL;0;;
HOŁET;ABLANS;0;;
IWET;AMYGT;0;;
LIJWET;KOSZTAP;0;;
CHIPAJ;KONTEP;0;;
SZIWAR;SZKOLR;0;;
GŁAZ;IGZA;0;;
MOERYK;GRUBY;0;;
DYWAN;INPAS;0;;
HOLWOT;TYNK;0;;
MARMUR;GORYWAR;0;;
